game_id,unique_codes,transitions,codes_list
2025020494,8,25,"0651,1441,1451,1460,1531,1541,1551,1560"
2025020156,8,24,"0651,1341,1441,1450,1451,1541,1551,1560"
2025020834,8,24,"0651,1441,1450,1451,1460,1541,1551,1560"
2025020017,8,23,"1431,1441,1451,1460,1531,1541,1551,1560"
2025020474,8,23,"1331,1441,1451,1531,1541,1550,1551,1560"
2025020282,8,22,"1331,1351,1441,1451,1460,1541,1551,1560"
2025020351,8,22,"0651,1351,1441,1451,1460,1541,1551,1560"
2025020740,8,22,"0651,1341,1441,1451,1531,1541,1551,1560"
2025020750,8,22,"1341,1351,1431,1441,1451,1460,1541,1551"
2025020047,8,21,"0431,0651,1331,1351,1431,1451,1541,1551"
2025020167,8,21,"0641,0651,1331,1341,1441,1451,1541,1551"
2025020582,8,21,"0651,1331,1431,1441,1451,1541,1551,1560"
2025020766,8,21,"0651,1331,1341,1441,1451,1531,1541,1551"
2025020792,8,21,"0641,0651,1351,1441,1451,1531,1541,1551"
2025020178,8,20,"1341,1351,1441,1451,1460,1541,1551,1560"
2025020186,8,20,"0641,0651,1331,1441,1451,1541,1551,1560"
2025020201,8,20,"0651,1331,1451,1460,1531,1541,1551,1560"
2025020337,8,20,"0641,0651,1441,1451,1460,1541,1551,1560"
2025020345,8,20,"0651,1351,1431,1441,1451,1531,1541,1551"
2025020370,8,20,"0431,0651,1331,1431,1441,1451,1541,1551"
2025020435,8,20,"0641,0651,1441,1451,1460,1541,1551,1560"
2025020468,8,20,"0641,0651,1331,1431,1441,1451,1541,1551"
2025020717,8,20,"0641,0651,1331,1441,1451,1531,1541,1551"
2025020006,8,19,"0651,1331,1341,1431,1441,1451,1541,1551"
2025020135,8,19,"0641,0651,1341,1441,1450,1451,1541,1551"
2025020555,8,19,"1331,1441,1451,1460,1531,1541,1551,1560"
2025020220,8,18,"0641,0651,1331,1441,1451,1541,1551,1560"
2025020616,8,18,"1331,1340,1341,1441,1451,1541,1551,1560"
2025020043,8,17,"0651,1441,1451,1531,1541,1550,1551,1560"
2025020150,8,17,"1331,1341,1431,1450,1451,1460,1541,1551"
2025020525,8,17,"0641,0651,1331,1451,1460,1541,1551,1560"
2025020080,8,16,"0641,0651,1441,1450,1451,1541,1551,1560"
2025020241,8,16,"0541,0551,0641,1441,1451,1541,1551,1560"
2025020434,8,16,"0641,0651,1351,1441,1451,1531,1541,1551"
2025020553,8,16,"0641,0651,1331,1431,1451,1541,1551,1560"
2025020475,8,15,"0641,0651,1331,1451,1531,1541,1551,1560"
2025020662,8,15,"1331,1351,1441,1451,1460,1541,1551,1560"
2025020751,8,15,"0641,0651,1331,1340,1451,1531,1541,1551"
2025020175,8,14,"1331,1341,1441,1451,1460,1541,1551,1560"
2025020608,8,14,"1331,1341,1351,1451,1460,1541,1551,1560"
2025020620,8,14,"0431,0531,1331,1431,1441,1451,1541,1551"
2025020686,8,14,"0641,0651,1331,1351,1451,1460,1541,1551"
2025020826,8,14,"0651,1331,1351,1451,1460,1541,1551,1560"
2025020306,8,13,"0641,0651,1331,1441,1451,1541,1551,1560"
2025020738,8,11,"0641,0651,1331,1441,1451,1541,1551,1560"
2025020031,7,30,"0651,1441,1451,1531,1541,1551,1560"
2025020180,7,30,"0651,1341,1441,1451,1541,1551,1560"
2025020285,7,30,"0651,1351,1441,1451,1541,1551,1560"
2025020510,7,29,"0651,1331,1341,1441,1451,1541,1551"
2025020041,7,27,"1351,1441,1451,1460,1541,1551,1560"
2025020463,7,27,"0641,0651,1351,1441,1451,1541,1551"
2025020211,7,26,"0641,0651,1441,1451,1541,1550,1551"
2025020224,7,26,"0641,0651,1441,1451,1541,1551,1560"
2025020076,7,25,"0651,1441,1451,1460,1541,1551,1560"
2025020092,7,25,"0651,1441,1451,1460,1541,1551,1560"
2025020212,7,25,"0651,1351,1441,1451,1541,1551,1560"
2025020577,7,25,"0641,0651,1441,1451,1531,1541,1551"
2025020790,7,25,"1331,1441,1451,1460,1541,1551,1560"
2025020342,7,24,"0651,1441,1451,1460,1541,1551,1560"
2025020403,7,24,"0641,0651,1451,1460,1541,1551,1560"
2025020473,7,23,"0641,0651,1451,1460,1541,1551,1560"
2025020585,7,23,"0641,0651,1341,1441,1451,1541,1551"
2025020635,7,23,"0641,0651,1331,1441,1451,1541,1551"
2025020719,7,23,"0651,1441,1451,1460,1541,1551,1560"
2025020818,7,23,"1331,1351,1441,1451,1541,1551,1560"
2025020036,7,22,"0651,1331,1351,1451,1541,1551,1560"
2025020204,7,22,"0651,1331,1431,1451,1531,1541,1551"
2025020221,7,22,"0651,1441,1451,1460,1541,1551,1560"
2025020259,7,22,"1351,1441,1451,1460,1541,1551,1560"
2025020406,7,22,"0651,1441,1451,1460,1541,1551,1560"
2025020547,7,22,"0651,1451,1460,1531,1541,1551,1560"
2025020551,7,22,"0651,1441,1451,1531,1541,1551,1560"
2025020588,7,22,"0101,0641,0651,1441,1451,1541,1551"
2025020715,7,22,"0641,0651,1441,1451,1541,1551,1560"
2025020020,7,21,"0641,0651,1331,1351,1451,1541,1551"
2025020094,7,21,"0641,0651,1441,1451,1541,1551,1560"
2025020287,7,21,"0651,1331,1441,1451,1541,1551,1560"
2025020320,7,21,"1431,1441,1451,1460,1541,1551,1560"
2025020341,7,21,"1341,1351,1441,1451,1541,1551,1560"
2025020512,7,21,"0631,0651,1451,1531,1541,1551,1560"
2025020646,7,21,"0541,0641,0651,1441,1451,1541,1551"
2025020768,7,21,"0651,1331,1451,1460,1541,1551,1560"
2025020011,7,20,"0651,1341,1431,1451,1541,1551,1560"
2025020029,7,20,"0641,0651,1451,1460,1541,1551,1560"
2025020101,7,20,"0641,0651,1451,1460,1541,1551,1560"
2025020112,7,20,"0541,0651,1431,1441,1451,1541,1551"
2025020168,7,20,"0651,1331,1341,1441,1451,1541,1551"
2025020190,7,20,"0651,1441,1451,1460,1541,1551,1560"
2025020394,7,20,"0651,1331,1431,1441,1451,1541,1551"
2025020535,7,20,"0641,0651,1451,1460,1541,1551,1560"
2025020618,7,20,"0651,1331,1431,1451,1541,1551,1560"
2025020631,7,20,"1441,1451,1460,1531,1541,1551,1560"
2025020758,7,20,"0651,1331,1351,1441,1451,1541,1551"
2025020830,7,20,"0641,0651,1331,1441,1451,1541,1551"
2025020838,7,20,"0651,1351,1441,1451,1531,1541,1551"
2025020039,7,19,"0641,0651,1441,1451,1541,1551,1560"
2025020091,7,19,"0641,1331,1441,1451,1541,1550,1551"
2025020144,7,19,"0651,1441,1451,1460,1541,1551,1560"
2025020161,7,19,"0651,1351,1451,1460,1541,1551,1560"
2025020164,7,19,"1331,1441,1451,1460,1541,1551,1560"
2025020440,7,19,"1331,1441,1451,1460,1541,1551,1560"
2025020442,7,19,"0431,1331,1431,1441,1451,1541,1551"
2025020496,7,19,"0641,0651,1441,1451,1531,1541,1551"
2025020498,7,19,"1331,1341,1441,1451,1531,1541,1551"
2025020549,7,19,"1331,1431,1441,1451,1541,1551,1560"
2025020564,7,19,"1341,1351,1441,1451,1541,1551,1560"
2025020579,7,19,"0641,0651,1331,1441,1451,1541,1551"
2025020656,7,19,"0641,0651,1331,1441,1451,1541,1551"
2025020657,7,19,"1331,1441,1451,1460,1541,1551,1560"
2025020798,7,19,"0641,0651,1341,1441,1451,1541,1551"
2025020084,7,18,"0641,0651,1451,1531,1541,1551,1560"
2025020113,7,18,"1341,1441,1451,1531,1541,1551,1560"
2025020346,7,18,"0641,0651,1331,1441,1451,1541,1551"
2025020451,7,18,"0641,0651,1441,1451,1541,1551,1560"
2025020467,7,18,"0641,0651,1441,1451,1541,1551,1560"
2025020523,7,18,"0651,1441,1451,1460,1541,1551,1560"
2025020594,7,18,"0641,0651,1331,1451,1541,1551,1560"
2025020663,7,18,"0101,0651,1010,1441,1451,1541,1551"
2025020698,7,18,"0641,0651,1441,1451,1541,1551,1560"
2025020058,7,17,"0651,1351,1441,1451,1460,1541,1551"
2025020145,7,17,"1431,1441,1451,1531,1541,1551,1560"
2025020169,7,17,"0641,0651,1331,1451,1531,1541,1551"
2025020515,7,17,"0651,1351,1441,1451,1541,1551,1560"
2025020681,7,17,"0651,1331,1441,1451,1541,1551,1560"
2025020726,7,17,"0651,1331,1441,1451,1541,1551,1560"
2025020782,7,17,"0651,1341,1441,1451,1541,1551,1560"
2025020050,7,16,"1331,1431,1441,1451,1541,1551,1560"
2025020396,7,16,"0641,0651,1451,1460,1541,1551,1560"
2025020459,7,16,"0551,0651,1441,1451,1541,1551,1560"
2025020504,7,16,"0641,0651,1441,1451,1541,1551,1560"
2025020544,7,16,"1331,1441,1450,1451,1541,1551,1560"
2025020623,7,16,"0101,1441,1451,1460,1541,1551,1560"
2025020776,7,16,"0641,0651,1351,1451,1541,1551,1560"
2025020780,7,16,"0641,0651,1441,1451,1531,1541,1551"
2025020012,7,15,"0551,0651,1441,1451,1541,1551,1560"
2025020062,7,15,"0641,0651,1331,1451,1541,1551,1560"
2025020082,7,15,"0651,1441,1451,1460,1541,1551,1560"
2025020100,7,15,"0651,1441,1451,1460,1541,1551,1560"
2025020134,7,15,"0641,0651,1331,1451,1541,1551,1560"
2025020189,7,15,"0641,0651,1451,1460,1541,1551,1560"
2025020238,7,15,"0651,1441,1451,1460,1541,1551,1560"
2025020253,7,15,"0641,0651,1451,1531,1541,1551,1560"
2025020336,7,15,"0651,1441,1451,1460,1541,1551,1560"
2025020360,7,15,"0651,1441,1451,1531,1541,1551,1560"
2025020492,7,15,"0641,0651,1441,1451,1541,1551,1560"
2025020629,7,15,"0651,1441,1451,1460,1541,1551,1560"
2025020723,7,15,"0651,1331,1441,1451,1541,1551,1560"
2025020806,7,15,"0651,1441,1451,1460,1541,1551,1560"
2025020264,7,14,"1331,1441,1451,1531,1541,1551,1560"
2025020348,7,14,"0641,0651,1341,1441,1451,1541,1551"
2025020630,7,14,"0641,0651,1351,1441,1451,1541,1551"
2025020770,7,14,"0541,0651,1441,1451,1541,1551,1560"
2025020842,7,14,"1341,1351,1441,1451,1541,1551,1560"
2025020095,7,13,"0541,0651,1441,1451,1541,1551,1560"
2025020192,7,13,"1010,1331,1340,1451,1541,1551,1560"
2025020518,7,13,"0651,1441,1451,1531,1541,1550,1551"
2025020642,7,13,"0651,1331,1341,1441,1451,1541,1551"
2025020254,7,12,"1331,1431,1441,1451,1541,1551,1560"
2025020290,7,12,"0651,1010,1331,1441,1451,1541,1551"
2025020382,7,12,"0651,1441,1451,1460,1541,1551,1560"
2025020456,7,12,"0651,1331,1451,1460,1541,1551,1560"
2025020614,7,12,"0641,0651,1451,1460,1541,1551,1560"
2025020674,7,12,"1010,1441,1451,1460,1541,1551,1560"
2025020709,7,12,"1331,1341,1351,1441,1451,1541,1551"
2025020137,7,11,"1331,1341,1431,1441,1451,1541,1551"
2025020592,7,11,"1331,1441,1451,1460,1541,1551,1560"
2025020294,7,10,"0651,1331,1341,1451,1460,1541,1551"
2025020562,7,9,"0651,1331,1341,1441,1451,1541,1551"
2025020126,6,32,"0641,0651,1441,1451,1541,1551"
2025020121,6,28,"1341,1431,1441,1451,1541,1551"
2025020574,6,27,"1441,1451,1460,1541,1551,1560"
2025020044,6,26,"0641,0651,1441,1451,1541,1551"
2025020670,6,26,"0651,1351,1451,1541,1551,1560"
2025020374,6,25,"0651,1441,1451,1541,1551,1560"
2025020023,6,24,"0651,1351,1451,1541,1551,1560"
2025020033,6,24,"1351,1451,1531,1541,1551,1560"
2025020664,6,24,"1441,1451,1460,1541,1551,1560"
2025020736,6,24,"0641,0651,1441,1451,1541,1551"
2025020060,6,23,"0651,1441,1451,1541,1551,1560"
2025020124,6,23,"0651,1351,1451,1541,1551,1560"
