period,secondsIntoPeriod,secondsElapsedGame,situationCode,strength,awayGoalie,awaySkaterCount,awaySkaters,homeSkaterCount,homeGoalie,homeSkaters
1,80,80,1551,5v5,8479193,5,8475755|8478449|8480027|8481581|8482145,5,8480843,8475184|8476458|8481563|8482745|8483490
1,81,81,1551,5v5,8479193,5,8475755|8478449|8480027|8481581|8482145,5,8480843,8475184|8476458|8481563|8482745|8483490
1,82,82,1551,5v5,8479193,5,8475755|8478449|8480027|8481581|8482145,5,8480843,8475184|8476458|8481563|8482745|8483490
1,83,83,1551,5v5,8479193,5,8475755|8478449|8480027|8481581|8482145,5,8480843,8475184|8476458|8481563|8482745|8483490
1,84,84,1551,5v5,8479193,5,8475755|8478449|8480027|8481581|8482145,5,8480843,8475184|8476458|8481563|8482745|8483490
1,85,85,1551,5v5,8479193,5,8475755|8478449|8480027|8481581|8482145,5,8480843,8475184|8476458|8481563|8482745|8483490
1,86,86,1551,5v5,8479193,5,8475755|8478449|8480027|8481581|8482145,5,8480843,8475184|8476458|8481563|8482745|8483490
1,87,87,1551,5v5,8479193,5,8475755|8478449|8480027|8481581|8482145,5,8480843,8475184|8476458|8481563|8482745|8483490
1,88,88,1551,5v5,8479193,5,8475755|8478449|8480027|8481581|8482145,5,8480843,8475184|8476458|8481563|8482745|8483490
1,89,89,1551,5v5,8479193,5,8475755|8478449|8480027|8481581|8482145,5,8480843,8475184|8476458|8481563|8482745|8483490
1,90,90,1551,5v5,8479193,5,8473994|8478449|8478476|8480027|8481581,5,8480843,8475184|8476458|8481563|8482745|8483490
1,91,91,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8481581,5,8480843,8475184|8476458|8481563|8482745|8483490
1,92,92,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8481581,5,8480843,8475184|8476458|8481563|8482745|8483490
1,93,93,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8475184|8476458|8481563|8482745|8483490
1,94,94,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8475184|8478424|8481563|8482745|8483490
1,95,95,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8477527|8478424|8481563|8482745|8483490
1,96,96,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8477527|8478424|8481563|8482745|8483490
1,97,97,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8477527|8478424|8481563|8482745|8483490
1,98,98,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8477527|8478424|8481563|8482745|8483490
1,99,99,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8477527|8478424|8481563|8482745|8483490
1,100,100,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8477527|8478424|8481563|8482745|8483490
1,101,101,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8477527|8478424|8481563|8482745|8483490
1,102,102,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8477527|8478424|8481563|8482745|8483490
1,103,103,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8477527|8478424|8481563|8482745|8482803
1,104,104,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8477527|8478424|8480068|8481563|8482803
1,105,105,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8477527|8478424|8480068|8481563|8482803
1,106,106,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8477527|8478424|8480068|8481563|8482803
1,107,107,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8477527|8478424|8480068|8481563|8482803
1,108,108,1551,5v5,8479193,5,8473994|8475168|8478476|8480027|8480950,5,8480843,8477527|8478424|8480068|8481563|8482803
